Name,HighwayType,GeometryType,Lat,Lon,City
Lawrence Avenue,residential,LineString,43.440110357142856,-80.51228013333332,Kitchener
Hazelglen Drive,residential,LineString,43.43947431538462,-80.52537617692307,Kitchener
Deer Ridge Drive,residential,LineString,43.404348165,-80.41255191500001,Kitchener
Terrace Wood Drive,residential,LineString,43.40513268571429,-80.41507312857142,Kitchener
Terrace Wood Crescent,residential,LineString,43.40434839411765,-80.41389037647059,Kitchener
Kinzie Avenue,residential,LineString,43.43393863684211,-80.43525626842103,Kitchener
Mill Street,residential,LineString,43.4340214076923,-80.47532116923077,Kitchener
Huron Road,secondary,LineString,43.3826315,-80.4864382,Kitchener
Duke Street East,residential,LineString,43.44787932222222,-80.48130804444443,Kitchener
Linwood Avenue,residential,LineString,43.457208699999995,-80.50678112,Kitchener
Andrew Street,unclassified,LineString,43.455893162500004,-80.505465325,Kitchener
Braun Street,residential,LineString,43.4565016,-80.50492140909091,Kitchener
Shanley Street,residential,LineString,43.456975766666666,-80.50104791666668,Kitchener
Ellen Street West,residential,LineString,43.45620869166667,-80.48634713333333,Kitchener
Templewood Drive,residential,LineString,43.39093992352941,-80.46367791176473,Kitchener
Greenbrook Drive,tertiary,LineString,43.42900320434783,-80.49990166956522,Kitchener
Lancaster Street West,secondary,LineString,43.459831900000005,-80.4829816,Kitchener
Ahrens Street West,residential,LineString,43.455513925,-80.491369125,Kitchener
Maynard Avenue,residential,LineString,43.455476516666664,-80.48830001666668,Kitchener
College Street,unclassified,LineString,43.45270011428572,-80.49255671428571,Kitchener
Francis Street South,unclassified,LineString,43.450723922222224,-80.49723997777777,Kitchener
Joseph Street,tertiary,LineString,43.45032283636363,-80.49766413636364,Kitchener
St. George Street,unclassified,LineString,43.4471632375,-80.49072815,Kitchener
Cedar Street South,residential,LineString,43.44411721,-80.48631332,Kitchener
Peter Street,residential,LineString,43.44523345,-80.48804967999999,Kitchener
Hebel Place,residential,LineString,43.4453269,-80.48978908333333,Kitchener
Church Street,unclassified,LineString,43.44720155454546,-80.48819169090908,Kitchener
Heit Lane,service,LineString,43.453989343749996,-80.49447998125001,Kitchener
Francis Street North,residential,LineString,43.45357100000001,-80.4937969,Kitchener
Bell Lane,service,LineString,43.45203087499999,-80.4936737875,Kitchener
Young Street,unclassified,LineString,43.45260204444444,-80.49106146666666,Kitchener
Scott Street,unclassified,LineString,43.448775760000004,-80.48590628000001,Kitchener
Goudies Lane,service,LineString,43.44998975,-80.4880578,Kitchener
Market Lane,living_street,LineString,43.44873461666666,-80.48476590833333,Kitchener
May Place,service,LineString,43.449119966666665,-80.48248365,Kitchener
Cameron Street North,residential,LineString,43.45010520999999,-80.47333532,Kitchener
Stirling Avenue South,tertiary,LineString,43.44401823,-80.47749612999999,Kitchener
Isaiah Drive,residential,LineString,43.40192858846154,-80.52183149230768,Kitchener
Max Becker Drive,residential,LineString,43.405678083333335,-80.50049863333334,Kitchener
Bridgeport Road,tertiary,LineString,43.47682603333334,-80.48264206666667,Kitchener
Bingemans Centre Drive,secondary,LineString,43.472125540740734,-80.44817921481483,Kitchener
Falconridge Drive,residential,LineString,43.49873717142857,-80.4790512,Kitchener
Shirley Drive,tertiary,LineString,43.47883315,-80.42538775,Kitchener
Frederick Street,secondary,LineString,43.463923290000004,-80.45936520000001,Kitchener
Margaret Avenue,tertiary,LineString,43.46155774444444,-80.49313871111111,Kitchener
St. Leger Street,residential,LineString,43.46646998235294,-80.4911160117647,Kitchener
Dunbar Road,residential,LineString,43.450791100000004,-80.5206053259259,Kitchener
Conestoga Parkway,motorway,LineString,43.47122245,-80.47563000000001,Kitchener
Wellington Street North,tertiary,LineString,43.46297321111111,-80.47859197777778,Kitchener
Pleasant Avenue,residential,LineString,43.436371582142854,-80.49796764999998,Kitchener
Blueridge Avenue,residential,LineString,43.43284001666667,-80.50547797222222,Kitchener
Vista Crescent,residential,LineString,43.433555587499995,-80.50501345625,Kitchener
Herbert Street,residential,LineString,43.45950559333334,-80.51252816,Waterloo
Queen Street North,tertiary,LineString,43.45740012,-80.48299577,Kitchener
Winding Way,residential,LineString,43.42042802162162,-80.53741305675678,Kitchener
Cherrytree Court,residential,LineString,43.42048422727273,-80.5387692090909,Kitchener
Greenbough Court,residential,LineString,43.4221884875,-80.536747225,Kitchener
Deerwood Crescent,residential,LineString,43.41465173499999,-80.53119431500001,Kitchener
Forestwood Drive,residential,LineString,43.41966087741935,-80.52129767741935,Kitchener
Hickory Heights Crescent,residential,LineString,43.42364681071429,-80.52328771428574,Kitchener
Hillbrook Crescent,residential,LineString,43.42449698571429,-80.52736075714286,Kitchener
Silver Aspen Crescent,residential,LineString,43.42311967647059,-80.52674004117645,Kitchener
Ramblewood Way,residential,LineString,43.4216840625,-80.5251916375,Kitchener
Brookside Crescent,residential,LineString,43.42151475909091,-80.5265989681818,Kitchener
Veronica Drive,residential,LineString,43.435964675,-80.4287074375,Kitchener
Dumfries Avenue,residential,LineString,43.4545268,-80.470072525,Kitchener
King Street East,unclassified,LineString,43.43077790769231,-80.43934281538462,Kitchener
Stirling Avenue North,residential,LineString,43.4494201,-80.46808782222223,Kitchener
Barbara Crescent,residential,LineString,43.42570664374999,-80.49766325,Kitchener
Southmoor Drive,residential,LineString,43.42789147999999,-80.49362749333332,Kitchener
Yager Avenue,residential,LineString,43.42759592727272,-80.4938441,Kitchener
Carwood Avenue,residential,LineString,43.43304998333334,-80.47042427777778,Kitchener
Carwood Crescent,residential,LineString,43.434535816666674,-80.46384828333332,Kitchener
Floral Crescent,residential,LineString,43.43699578,-80.4601966,Kitchener
Jackson Avenue,residential,LineString,43.44104921818182,-80.46121221818181,Kitchener
Birchcliff Avenue,residential,LineString,43.42601984545455,-80.51609165454545,Kitchener
Village Road,residential,LineString,43.42746587916667,-80.50398425833332,Kitchener
Ripplewood Crescent,residential,LineString,43.426626934615385,-80.51319626923076,Kitchener
Warren Road,residential,LineString,43.429511090909095,-80.512659,Kitchener
Mooregate Crescent,residential,LineString,43.440178808823525,-80.52394973235295,Kitchener
Maple Hill Drive,residential,LineString,43.4455108,-80.5405295,Kitchener
Fran Ellen Crescent,residential,LineString,43.41142204615385,-80.54794188461538,Kitchener
Hoddle Crescent,residential,LineString,43.41246554375,-80.54670319375,Kitchener
